asset_id,page,section,usage,specific_or_category,source_platform,source_item_title,source_item_id,source_url,author,download_date,license_type,license_reference,model_release_status,property_release_status,location_release_status,ai_generated,original_filename,local_master_filename,derivative_filenames,original_dimensions,original_duration,crop,focal_point,alt_es,alt_en,alt_ar,alt_zh,magnific_used,magnific_settings,approved_by,approval_date,notes
10_casa_tulum,multiple (generated from gen_i18n.py — 4 languages),Tulum ficha + Insights cards,Tulum ficha + Insights cards,category,Freepik (authorised API via connected account),Aerial Tulum coastline with Caribbean sea and small huts by the coast,116622208,https://www.freepik.com/-_116622208.htm,Freepik contributor (premium),2026-07-31,Freepik licence (commercial use) via active account,account download 2026-07-31; item 116622208,n/a - no identifiable persons,editorial/architectural exteriors and landscapes; no property release required for this usage,public locations / aerial views,NO - filtered with ai_generated=excluded and visually verified frame by frame,10_casa_tulum.jpg,"_full/10_casa_tulum.jpg (Mac Studio, off-repo master)",10_casa_tulum.jpg (1600x1066 JPEG q82 progressive),5464x3640,n/a,none - full frame,centre (CSS background-position: center),Costa de Tulum con arquitectura de palapa y el mar Caribe,Tulum coastline with palm-thatch architecture and the Caribbean sea,ساحل تولوم بعمارة السعف والبحر الكاريبي,图卢姆海岸茅草建筑与加勒比海,NO,n/a,Visual review in director mode (contact sheets 100% inspected),2026-07-31,"Correct geography (Quintana Roo, Mexico)."
11_villa_marbella,multiple (generated from gen_i18n.py — 4 languages),Marbella ficha,Marbella ficha,category,Freepik (authorised API via connected account),"Close up view of Puerto Banus Marina, Marbella, Spain",422694434,https://www.freepik.com/-_422694434.htm,Freepik contributor (premium),2026-07-31,Freepik licence (commercial use) via active account,account download 2026-07-31; item 422694434,n/a - no identifiable persons,editorial/architectural exteriors and landscapes; no property release required for this usage,public locations / aerial views,NO - filtered with ai_generated=excluded and visually verified frame by frame,11_villa_marbella.jpg,"_full/11_villa_marbella.jpg (Mac Studio, off-repo master)",11_villa_marbella.jpg (1600x1084 JPEG q82 progressive),7750x5250,n/a,none - full frame,centre (CSS background-position: center),Puerto Banus a la hora dorada con la montana de La Concha,Puerto Banus marina at golden hour with La Concha mountain,مرسى بويرتو بانوس عند الغروب,黄金时刻的银海港与康查山,NO,n/a,Visual review in director mode (contact sheets 100% inspected),2026-07-31,"Correct geography (Marbella, Andalusia)."
12_atico_cdmx,multiple (generated from gen_i18n.py — 4 languages),Mexico City penthouse card,Mexico City penthouse card,category,Freepik (authorised API via connected account),"Mexico City, Reforma avenue aerial view at sunset",5916749,https://www.freepik.com/-_5916749.htm,Freepik contributor (premium),2026-07-31,Freepik licence (commercial use) via active account,account download 2026-07-31; item 5916749,n/a - no identifiable persons,editorial/architectural exteriors and landscapes; no property release required for this usage,public locations / aerial views,NO - filtered with ai_generated=excluded and visually verified frame by frame,12_atico_cdmx.jpg,"_full/12_atico_cdmx.jpg (Mac Studio, off-repo master)",12_atico_cdmx.jpg (1600x1199 JPEG q82 progressive),3090x2316,n/a,none - full frame,centre (CSS background-position: center),Torres de Paseo de la Reforma al atardecer desde el aire,Paseo de la Reforma towers at sunset from above,أبراج باسيو دي لا ريفورما عند الغروب,日落时分改革大道塔楼航拍,NO,n/a,Visual review in director mode (contact sheets 100% inspected),2026-07-31,Correct geography (CDMX).
13_investment_bg,multiple (generated from gen_i18n.py — 4 languages),Capital & Transactions header + investment band,Capital & Transactions header + investment band,category,Freepik (authorised API via connected account),Sparkling Dubai skyscrapers reflect in the water at night,1120204,https://www.freepik.com/-_1120204.htm,Freepik contributor (free),2026-07-31,Freepik licence (commercial use) via active account,account download 2026-07-31; item 1120204,n/a - no identifiable persons,editorial/architectural exteriors and landscapes; no property release required for this usage,public locations / aerial views,NO - filtered with ai_generated=excluded and visually verified frame by frame,13_investment_bg.jpg,"_full/13_investment_bg.jpg (Mac Studio, off-repo master)",13_investment_bg.jpg (2200x1467 JPEG q82 progressive),5347x3565,n/a,none - full frame,centre (CSS background-position: center),Distrito financiero junto al agua de noche con reflejos,"Waterfront financial district at night, lights reflected",حي مالي على الماء ليلا,夜间滨水金融区灯光倒影,NO,n/a,Visual review in director mode (contact sheets 100% inspected),2026-07-31,Dark frame chosen for legibility of overlaid type.
14_cta_bg,multiple (generated from gen_i18n.py — 4 languages),Trade & financial infrastructure header + CTA band,Trade & financial infrastructure header + CTA band,category,Freepik (authorised API via connected account),Low angle view of skyscrapers lit up at night,111500460,https://www.freepik.com/-_111500460.htm,Freepik contributor (premium),2026-07-31,Freepik licence (commercial use) via active account,account download 2026-07-31; item 111500460,n/a - no identifiable persons,editorial/architectural exteriors and landscapes; no property release required for this usage,public locations / aerial views,NO - filtered with ai_generated=excluded and visually verified frame by frame,14_cta_bg.jpg,"_full/14_cta_bg.jpg (Mac Studio, off-repo master)",14_cta_bg.jpg (2200x1467 JPEG q82 progressive),6000x4000,n/a,none - full frame,centre (CSS background-position: center),Torres financieras de noche en contrapicado,Financial towers at night from below,أبراج مالية ليلا من الأسفل,仰视夜间金融大厦,NO,n/a,Visual review in director mode (contact sheets 100% inspected),2026-07-31,Replaces a frame that read as CGI/3D render.
15_difc_gate,multiple (generated from gen_i18n.py — 4 languages),Strategic partnerships header,Strategic partnerships header,category,Freepik (authorised API via connected account),"Dubai, UAE. Jumeirah Emirates Towers / financial district at night",10132432,https://www.freepik.com/-_10132432.htm,Freepik contributor (premium),2026-07-31,Freepik licence (commercial use) via active account,account download 2026-07-31; item 10132432,n/a - no identifiable persons,editorial/architectural exteriors and landscapes; no property release required for this usage,public locations / aerial views,NO - filtered with ai_generated=excluded and visually verified frame by frame,20_difc_gate.jpg,"_full/20_difc_gate.jpg (Mac Studio, off-repo master)",15_difc_gate.jpg (2200x1464 JPEG q82 progressive),4256x2832,n/a,none - full frame,centre (CSS background-position: center),"Arquitectura financiera institucional de noche, Dubai","Institutional financial architecture at night, Dubai",عمارة مالية مؤسسية ليلا في دبي,迪拜夜间金融机构建筑,NO,n/a,Visual review in director mode (contact sheets 100% inspected),2026-07-31,NEW. Removes a duplicate on the Capital door.
16_atlantic_aerial,multiple (generated from gen_i18n.py — 4 languages),Submit-an-opportunity header,Submit-an-opportunity header,category,Freepik (authorised API via connected account),"Flying landscape of the Atlantic Ocean, aerial view",34792052,https://www.freepik.com/-_34792052.htm,Freepik contributor (premium),2026-07-31,Freepik licence (commercial use) via active account,account download 2026-07-31; item 34792052,n/a - no identifiable persons,editorial/architectural exteriors and landscapes; no property release required for this usage,public locations / aerial views,NO - filtered with ai_generated=excluded and visually verified frame by frame,21_atlantic_aerial.jpg,"_full/21_atlantic_aerial.jpg (Mac Studio, off-repo master)",16_atlantic_aerial.jpg (2200x1237 JPEG q82 progressive),4500x2531,n/a,none - full frame,centre (CSS background-position: center),Vista aerea de un promontorio y el oceano a la hora dorada,Aerial view of headland and ocean at golden hour,منظر جوي لرأس بري والمحيط,黄金时刻海岬与海洋航拍,NO,n/a,Visual review in director mode (contact sheets 100% inspected),2026-07-31,NEW.
17_ocean_cliff,multiple (generated from gen_i18n.py — 4 languages),Insights hub header,Insights hub header,category,Freepik (authorised API via connected account),"Evening sky, marine horizon, drone view with cliff silhouette",132093873,https://www.freepik.com/-_132093873.htm,Freepik contributor (premium),2026-07-31,Freepik licence (commercial use) via active account,account download 2026-07-31; item 132093873,n/a - no identifiable persons,editorial/architectural exteriors and landscapes; no property release required for this usage,public locations / aerial views,NO - filtered with ai_generated=excluded and visually verified frame by frame,22_ocean_cliff.jpg,"_full/22_ocean_cliff.jpg (Mac Studio, off-repo master)",17_ocean_cliff.jpg (2200x1238 JPEG q82 progressive),3840x2160,n/a,none - full frame,centre (CSS background-position: center),Horizonte oceanico al anochecer con silueta de acantilado,Ocean horizon at dusk with a cliff silhouette,أفق المحيط عند الغسق مع ظل جرف,暮色海平线与崖影,NO,n/a,Visual review in director mode (contact sheets 100% inspected),2026-07-31,"NEW. Editorial, quiet frame for the Insights hub."
18_london_rooftops,multiple (generated from gen_i18n.py — 4 languages),Business Infrastructure door header,Business Infrastructure door header,category,Freepik (authorised API via connected account),London city rooftop view panorama in black and white,26824037,https://www.freepik.com/-_26824037.htm,Freepik contributor (free),2026-07-31,Freepik licence (commercial use) via active account,account download 2026-07-31; item 26824037,n/a - no identifiable persons,editorial/architectural exteriors and landscapes; no property release required for this usage,public locations / aerial views,NO - filtered with ai_generated=excluded and visually verified frame by frame,23_london_rooftops.jpg,"_full/23_london_rooftops.jpg (Mac Studio, off-repo master)",18_london_rooftops.jpg (2200x1100 JPEG q82 progressive),6801x3400,n/a,none - full frame,centre (CSS background-position: center),"Panoramica de tejados urbanos, desaturada","Panoramic city rooftops, desaturated",بانوراما أسطح المدينة بالأبيض والأسود,城市屋顶黑白全景,NO,n/a,Visual review in director mode (contact sheets 100% inspected),2026-07-31,NEW.
19_resort_complex,multiple (generated from gen_i18n.py — 4 languages),Project structuring header,Project structuring header,category,Freepik (authorised API via connected account),"High Angle View of Tropical Luxury Resort and Beach, Phuket",427528720,https://www.freepik.com/-_427528720.htm,Freepik contributor (free),2026-07-31,Freepik licence (commercial use) via active account,account download 2026-07-31; item 427528720,n/a - no identifiable persons,editorial/architectural exteriors and landscapes; no property release required for this usage,public locations / aerial views,NO - filtered with ai_generated=excluded and visually verified frame by frame,24_resort_complex.jpg,"_full/24_resort_complex.jpg (Mac Studio, off-repo master)",19_resort_complex.jpg (1600x900 JPEG q82 progressive),3840x2160,n/a,none - full frame,centre (CSS background-position: center),Vista aerea de un complejo turistico en desarrollo junto a la playa,Aerial view of a resort complex under development beside the beach,منظر جوي لمجمع منتجعات قيد التطوير,在建度假综合体航拍,NO,n/a,Visual review in director mode (contact sheets 100% inspected),2026-07-31,NEW.
20_andalusia_roofs,multiple (generated from gen_i18n.py — 4 languages),Spain market imagery (reserve),Spain market imagery (reserve),category,Freepik (authorised API via connected account),"Marbella, coastal city of Andalusia, Spain",27681169,https://www.freepik.com/-_27681169.htm,Freepik contributor (premium),2026-07-31,Freepik licence (commercial use) via active account,account download 2026-07-31; item 27681169,n/a - no identifiable persons,editorial/architectural exteriors and landscapes; no property release required for this usage,public locations / aerial views,NO - filtered with ai_generated=excluded and visually verified frame by frame,26_andalusia_roofs.jpg,"_full/26_andalusia_roofs.jpg (Mac Studio, off-repo master)",20_andalusia_roofs.jpg (1600x1068 JPEG q82 progressive),3746x2500,n/a,none - full frame,centre (CSS background-position: center),Tejados andaluces sobre el Mediterraneo,Andalusian rooftops overlooking the Mediterranean,أسطح أندلسية تطل على المتوسط,俯瞰地中海的安达卢西亚屋顶,NO,n/a,Visual review in director mode (contact sheets 100% inspected),2026-07-31,NEW. Held in reserve for the Spain market block.
21_concrete_lattice,multiple (generated from gen_i18n.py — 4 languages),Private enquiry header,Private enquiry header,category,Freepik (authorised API via connected account),Geometric concrete wall texture and lush green grass contrast,426113076,https://www.freepik.com/-_426113076.htm,Freepik contributor (free),2026-07-31,Freepik licence (commercial use) via active account,account download 2026-07-31; item 426113076,n/a - no identifiable persons,editorial/architectural exteriors and landscapes; no property release required for this usage,public locations / aerial views,NO - filtered with ai_generated=excluded and visually verified frame by frame,27_concrete_lattice.jpg,"_full/27_concrete_lattice.jpg (Mac Studio, off-repo master)",21_concrete_lattice.jpg (1600x900 JPEG q82 progressive),5712x3213,n/a,none - full frame,centre (CSS background-position: center),Celosia geometrica de hormigon con gramineas,Geometric concrete lattice with grasses,مشربية خرسانية هندسية مع أعشاب,几何混凝土花格与草丛,NO,n/a,Visual review in director mode (contact sheets 100% inspected),2026-07-31,NEW. Deliberately non-literal frame for the confidential/private route.
22_land_parcels,multiple (generated from gen_i18n.py — 4 languages),Land & master developments header,Land & master developments header,category,Freepik (authorised API via connected account),Scenic aerial view of agricultural fields at seaside,21022025,https://www.freepik.com/-_21022025.htm,Freepik contributor (premium),2026-07-31,Freepik licence (commercial use) via active account,account download 2026-07-31; item 21022025,n/a - no identifiable persons,editorial/architectural exteriors and landscapes; no property release required for this usage,public locations / aerial views,NO - filtered with ai_generated=excluded and visually verified frame by frame,28_land_parcels.jpg,"_full/28_land_parcels.jpg (Mac Studio, off-repo master)",22_land_parcels.jpg (1600x1066 JPEG q82 progressive),5464x3640,n/a,none - full frame,centre (CSS background-position: center),Vista aerea de parcelas delimitadas en un promontorio costero,Aerial view of delimited land parcels on a coastal headland,منظر جوي لقطع أراض محددة على رأس ساحلي,滨海岬角上划分地块航拍,NO,n/a,Visual review in director mode (contact sheets 100% inspected),2026-07-31,NEW.
23_dubai_gold_night,multiple (generated from gen_i18n.py — 4 languages),Private Deal Room header,Private Deal Room header,category,Freepik (authorised API via connected account),Dubai in the night,29152450,https://www.freepik.com/-_29152450.htm,Freepik contributor (free),2026-07-31,Freepik licence (commercial use) via active account,account download 2026-07-31; item 29152450,n/a - no identifiable persons,editorial/architectural exteriors and landscapes; no property release required for this usage,public locations / aerial views,NO - filtered with ai_generated=excluded and visually verified frame by frame,29_dubai_gold_night.jpg,"_full/29_dubai_gold_night.jpg (Mac Studio, off-repo master)",23_dubai_gold_night.jpg (2200x1496 JPEG q82 progressive),3400x2312,n/a,none - full frame,centre (CSS background-position: center),Frente maritimo urbano de noche con reflejos calidos,City waterfront at night with warm reflections,واجهة مدينة بحرية ليلا بانعكاسات دافئة,夜间城市滨水暖色倒影,NO,n/a,Visual review in director mode (contact sheets 100% inspected),2026-07-31,NEW. Removes a duplicate on the Deal Room page.
